Housing-1
,Area_name,New houses,New other residential building,Total dwellings,Value of new houses,Value of new other residential building,Value of alterations & additions including conversions to residential building,Value of total residential building,Value of non-residential building,Value of total building
118011347,Woollahra,2,9,12,"1,347","10,756","26,166","38,269","16,948","55,217"
118011649,Bellevue Hill,12,41,53,"44,825","40,601","51,307","136,732",740,"137,472"
118011650,Double Bay - Darling Point,3,2,5,"7,221","1,947","20,018","29,185","16,418","45,603"
11802,Eastern Suburbs - South,82,230,318,"61,298","102,547","139,688","303,533","815,502","1,119,035"
118021564,Kensington (NSW),6,0,6,"4,741",0,"11,926","16,667","6,222","22,889"
118021565,Kingsford,9,60,71,"4,278","15,427","11,202","30,907","8,753","39,660"
118021566,Maroubra - North,17,10,27,"19,470","6,712","12,160","38,341","1,299","39,640"
118021567,Maroubra - South,2,17,21,741,"12,568","8,355","21,665","19,797","41,461"
118021568,Maroubra - West,6,6,12,"3,334","2,485","10,147","15,966","59,350","75,316"
118021569,Randwick - North,6,20,26,"4,221","8,440","14,467","27,128","10,611","37,739"
118021570,Randwick - South,3,14,17,"2,214","5,652","11,669","19,535","675,189","694,723"
118021651,Coogee - Clovelly,10,15,26,"5,367","6,956","42,003","54,325","2,210","56,535"
118021652,Malabar - La Perouse,9,26,35,"6,064","11,982","3,314","21,359","10,174","31,533"
118021653,Matraville - Chifley,10,56,67,"6,923","28,852","5,546","41,321","21,350","62,671"
118021654,South Coogee,4,6,10,"3,946","3,474","8,900","16,320",547,"16,867"
119,Sydney - Inner South West,888,"2,057","2,967","395,748","737,925","113,807","1,247,479","606,556","1,854,035"
11901,Bankstown,369,918,"1,299","134,882","330,582","20,497","485,961","374,469","860,430"
119011354,Bass Hill - Georges Hall,61,154,218,"20,421","55,661","3,322","79,403","2,748","82,152"
119011355,Chullora,0,0,0,0,0,0,0,"10,311","10,311"
119011356,Condell Park,20,78,99,"7,754","28,946","3,253","39,953","83,848","123,801"
119011358,Padstow,27,98,126,"9,713","35,771","2,292","47,777","3,375","51,151"
119011360,Revesby,27,162,190,"11,298","59,699","1,309","72,306","28,273","100,579"
119011361,Yagoona - Birrong,88,68,156,"25,932","25,357","1,249","52,538","1,500","54,038"
119011571,Bankstown - North,13,26,39,"8,188","8,432",688,"17,308","209,249","226,557"
119011572,Bankstown - South,33,54,89,"8,410","14,094",939,"23,443","5,595","29,038"
119011655,Greenacre - North,25,40,66,"10,200","15,692","1,396","27,287","10,647","37,934"
119011656,Greenacre - South,33,42,75,"14,409","15,465","1,442","31,316",585,"31,901"
119011657,Panania (North) - Milperra,13,90,103,"5,887","32,870","1,569","40,326","3,688","44,014"
119011658,Panania (South) - Picnic Point,29,106,138,"12,670","38,596","3,040","54,305","14,650","68,955"
11902,Canterbury,156,332,491,"67,627","109,636","27,637","204,900","62,957","267,858"
119021362,Belmore - Belfield,31,40,71,"13,578","14,256","3,261","31,094","1,166","32,260"
119021366,Punchbowl,38,36,75,"11,014","12,837","2,080","25,931","15,966","41,896"
119021367,Roselands,22,87,110,"10,492","33,539","2,047","46,078","20,309","66,387"
119021573,Lakemba,12,7,19,"3,230","1,230",469,"4,929","4,595","9,525"
119021574,Wiley Park,6,2,8,"1,891",450,"1,556","3,897","3,075","6,971"
119021659,Campsie - North,5,13,18,"2,136","3,832",514,"6,482","1,824","8,306"
119021660,Campsie - South,1,4,5,735,"1,400",455,"2,590","2,353","4,943"
119021661,Canterbury - South,9,97,106,"3,898","24,502","1,944","30,344",873,"31,217"
119021662,Earlwood,23,21,45,"17,194","7,890","13,282","38,367","6,084","44,451"
119021663,Kingsgrove - North,9,25,34,"3,460","9,700","2,029","15,189","6,713","21,902"
11903,Hurstville,201,340,545,"103,977","139,921","28,013","271,912","82,256","354,167"
119031370,Narwee - Beverly Hills,21,30,52,"9,358","12,026","2,468","23,852","14,069","37,921"
119031371,Oatley - Hurstville Grove,24,76,101,"15,533","32,762","3,525","51,820",531,"52,350"
119031372,Peakhurst - Lugarno,31,34,66,"17,798","14,509","5,985","38,293","4,349","42,642"
119031373,Riverwood,18,67,85,"5,351","23,680",861,"29,892","15,486","45,377"
119031374,South Hurstville - Blakehurst,34,43,78,"22,683","20,829","9,185","52,697","3,654","56,351"
119031664,Hurstville - Central,8,37,45,"3,765","15,466",370,"19,601","10,706","30,306"
119031665,Hurstville - North,39,32,71,"17,435","11,943",543,"29,921","29,069","58,989"
119031666,Mortdale - Oatley,23,15,38,"11,149","6,317","4,691","22,157","2,532","24,689"
119031667,Penshurst,3,6,9,905,"2,391",385,"3,681","1,860","5,541"
11904,Kogarah - Rockdale,162,467,632,"89,262","157,785","37,659","284,706","86,875","371,580"
119041377,Kingsgrove (South) - Bardwell Park,31,26,57,"13,924","9,903","4,205","28,033","1,594","29,626"
119041378,Kogarah,9,270,279,"5,248","80,368","1,607","87,223","20,722","107,945"
